soc_code,occ_title,emp_2024,emp_2034,pct_chg_2024_2034,openings_2024_2034,median_wage_2024,education_2024,emp_2021,emp_2031,pct_chg_2021_2031,openings_2021_2031,bls_merge,revision_pp,aioe_felten,gpts_dv_rating_alpha,gpts_dv_rating_beta,gpts_dv_rating_gamma,gpts_human_rating_alpha,gpts_human_rating_beta,gpts_human_rating_gamma,aei_observed_exposure,n_onet_tasks,mean_task_importance,aei_claude_usage_share,gpts_task_alpha_mean,gpts_task_beta_mean,gpts_task_gamma_mean,kmeans_cluster,kmeans_silhouette,gmm_cluster,gmm_max_prob,gmm_prob_0,gmm_prob_1,gmm_prob_2,gmm_prob_3,gmm_prob_4,gmm_prob_5,gmm_prob_6,ward_cluster,dbscan_cluster,dbscan_noise,pca1,pca2,feat_ai_exposure,feat_llm_exposure,feat_log_claude_usage,feat_aioe_felten,feat_growth_pre,feat_log_employment,feat_log_wage,feat_n_onet_tasks,feat_mean_task_importance
51-2041,Structural metal fabricators and fitters,53.8,45.0,-16.3,4.1,49900.0,High school diploma or equivalent,63.6,53.6,-15.8,4.7,both_vintages,-0.5,-1.076307,0.0,0.0227272727272727,0.0454545454545454,0.0,0.0227272727272727,0.0454545454545454,0.0,23.0,3.87,0.0,0.0,0.0217391304347826,0.0434782608695652,1,0.3938843325163805,6,0.9990207858573039,1.5477457459137376e-08,7.298179535609652e-15,0.0009778757751327859,2.372673499059131e-37,3.0525071640750346e-14,1.3228900684995907e-06,0.9990207858573039,1,0,False,-1.8472909017691983,0.004773853216805124,0.0,0.0227272727272727,0.0,-1.076307,-15.8,3.9815490680767565,10.81777628173961,23.0,3.87
51-2051,Fiberglass laminators and fabricators,18.6,19.4,4.2,2.1,45760.0,High school diploma or equivalent,17.8,18.0,0.7,2.1,both_vintages,3.5,,0.0,0.0208333333333333,0.0416666666666666,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,16.0,4.171875,0.0,0.0,0.03125,0.0625,1,0.47041235853780683,6,0.9973680946211047,1.575981521455804e-07,7.324746573112826e-10,0.0026317376139603815,4.0743155222607724e-38,6.171719856992234e-11,9.372590868262078e-09,0.9973680946211047,1,0,False,-1.536886655775587,-0.47213646764460077,0.0,0.0833333333333333,0.0,-0.1260282,0.7,2.8903717578961645,10.731165626053679,16.0,4.171875
51-2061,Timing device assemblers and adjusters,0.2,0.2,-17.5,0.0,40790.0,High school diploma or equivalent,0.6,0.5,-18.3,0.1,both_vintages,0.8000000000000007,,0.0,0.06,0.12,0.0,0.0,0.0,0.0392,17.0,4.13470588235294,0.0,0.0,0.088235294117647,0.1764705882352941,1,0.29076878817579793,0,0.9999984303956876,0.9999984303956876,1.3692275692266395e-08,0.0,4.406932979487953e-59,3.788140823751124e-07,1.1770979539865787e-06,0.0,1,-1,True,-2.221964051746954,-2.4334443436608644,0.0392,0.0,0.0,-0.1260282,-18.3,-0.6931471805599453,10.616192232311604,17.0,4.13470588235294
51-3011,Bakers,249.1,263.2,5.6,39.9,36650.0,No formal educational credential,200.8,217.0,8.1,31.3,both_vintages,-2.5,-0.3852989,0.1470588235294117,0.2647058823529412,0.3823529411764705,0.088235294117647,0.1176470588235294,0.1470588235294117,0.0,18.0,4.307222222222222,0.0105789021769941,0.1666666666666666,0.2777777777777778,0.3888888888888889,1,0.43939955274905546,2,0.9998536560802468,4.216670831266489e-06,6.939778701147968e-09,0.9998536560802468,5.6152962622291925e-33,9.930178075314585e-09,0.00014211037896516164,0.0,1,0,False,-1.4923521676853237,0.9904484915162118,0.0,0.1176470588235294,0.010523337125984184,-0.3852989,8.1,5.37989735354046,10.509168707314798,18.0,4.307222222222222
51-3021,Butchers and meat cutters,143.1,144.5,1.0,16.9,38960.0,No formal educational credential,146.9,142.0,-3.3,17.7,both_vintages,4.3,-0.9709924,0.0526315789473684,0.131578947368421,0.2105263157894736,0.0,0.0263157894736842,0.0526315789473684,0.0,11.0,4.297272727272727,0.0,0.0909090909090909,0.1363636363636363,0.1818181818181818,1,0.4811331004632537,6,0.9962842742123107,2.322843797722136e-08,2.1910919088384708e-10,0.0037151586955060404,2.977723671019225e-42,1.251979652827721e-13,5.436445110742922e-07,0.9962842742123107,1,0,False,-2.2378318612843078,0.42617337493696006,0.0,0.0263157894736842,0.0,-0.9709924,-3.3,4.955827057601261,10.57029075775647,11.0,4.297272727272727
51-3022,"Meat, poultry, and fish cutters and trimmers",146.8,154.9,5.5,18.4,37700.0,No formal educational credential,137.3,139.1,1.3,17.5,both_vintages,4.2,-1.10563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.2299999999999995,0.0,0.0,0.0,0.0,1,0.4971417059788326,6,0.9956841046660982,3.4352281184637826e-08,2.827367146768427e-10,0.004314763736538488,2.8560329278394223e-44,6.838402823644945e-14,1.0969622766248977e-06,0.9956841046660982,1,0,False,-2.2526928520522382,0.7361163469913405,0.0,0.0,0.0,-1.10563,1.3,4.935193098929397,10.537415373436103,12.0,4.2299999999999995
51-3023,Slaughterers and meat packers,69.6,71.2,2.2,8.4,39790.0,No formal educational credential,88.3,86.7,-1.8,10.8,both_vintages,4.0,-1.834668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.377142857142857,0.0,0.0,0.0,0.0,1,0.4826047274341589,6,0.9954814730661415,6.818233507820502e-09,1.3047075809977186e-10,0.004518480318922157,1.28174930910029e-50,3.488044866599818e-17,3.966623197726899e-08,0.9954814730661415,1,0,False,-2.7569926198815424,0.5597545949338593,0.0,0.0,0.0,-1.834668,-1.8,4.462453883786496,10.591370903420975,14.0,4.377142857142857
51-3091,"Food and tobacco roasting, baking, and drying machine operators and tenders",20.7,20.8,0.6,2.4,42730.0,No formal educational credential,21.1,21.6,2.2,2.8,both_vintages,-1.6,-0.758859,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,0.0666666666666666,0.1333333333333333,0.0,19.0,4.206315789473685,0.0,0.0526315789473684,0.0526315789473684,0.0526315789473684,1,0.5187097632684315,6,0.998199793050496,7.084199718954272e-08,3.8052654178243424e-10,0.0018000642432076431,6.36761728813797e-43,4.193240797312212e-13,7.14833529942453e-08,0.998199793050496,1,0,False,-1.8842179297413146,-0.04399448621666299,0.0,0.0666666666666666,0.0,-0.758859,2.2,3.0726933146901194,10.66265652863807,19.0,4.206315789473685
51-3092,Food batchmakers,173.5,185.4,6.9,24.2,40790.0,High school diploma or equivalent,159.9,168.7,5.5,23.5,both_vintages,1.4000000000000004,-0.3791114,0.1025641025641025,0.1153846153846153,0.1282051282051282,0.1282051282051282,0.1538461538461538,0.1794871794871795,0.0,25.0,4.4796,0.0549486666474942,0.08,0.1,0.12,1,0.4140902753268844,0,0.9991510589584115,0.9991510589584115,0.0005832923640205182,9.165904680335385e-05,3.018049146220991e-27,0.0001739896275071165,3.2579216351414133e-12,0.0,1,0,False,-1.3812902260260067,0.7706254158571434,0.0,0.1538461538461538,0.053492108538062924,-0.3791114,5.5,5.128121989551922,10.616192232311604,25.0,4.4796
51-3093,Food cooking machine operators and tenders,29.7,29.9,0.6,4.4,40550.0,High school diploma or equivalent,27.2,27.0,-0.8,5.0,both_vintages,1.4,-0.5559894,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.0,0.032258064516129,0.064516129032258,0.0,17.0,4.388823529411765,0.0,0.1176470588235294,0.1176470588235294,0.1176470588235294,1,0.4894364757942639,6,0.9972233126707842,7.285307644859534e-08,1.3542046979264033e-10,0.002776454765335259,1.306038426261664e-46,7.105829658906597e-13,1.5957467273887237e-07,0.9972233126707842,1,0,False,-2.1185075230826533,-0.21902080767274862,0.0,0.032258064516129,0.0,-0.5559894,-0.8,3.295836866004329,10.61029105954356,17.0,4.388823529411765
